mesh,method,cut
3elt.mat,part_coordinate,172
3elt.mat,part_inertial,209
3elt.mat,part_randsphere,94
3elt.mat,part_adaptive_sfc,224
3elt.mat,part_spectral,117
3elt.mat,part_geospectral,117
3elt.mat,part_metis,90
airfoil1.mat,part_coordinate,94
airfoil1.mat,part_inertial,94
airfoil1.mat,part_randsphere,93
airfoil1.mat,part_adaptive_sfc,98
airfoil1.mat,part_spectral,132
airfoil1.mat,part_geospectral,132
airfoil1.mat,part_metis,73
barth4.mat,part_coordinate,206
barth4.mat,part_inertial,194
barth4.mat,part_randsphere,130
barth4.mat,part_adaptive_sfc,208
barth4.mat,part_spectral,127
barth4.mat,part_geospectral,127
barth4.mat,part_metis,100
crack.mat,part_coordinate,323
crack.mat,part_inertial,377
crack.mat,part_randsphere,275
crack.mat,part_adaptive_sfc,353
crack.mat,part_spectral,233
crack.mat,part_geospectral,233
crack.mat,part_metis,200
mesh1e1.mat,part_coordinate,18
mesh1e1.mat,part_inertial,19
mesh1e1.mat,part_randsphere,18
mesh1e1.mat,part_adaptive_sfc,18
mesh1e1.mat,part_spectral,18
mesh1e1.mat,part_geospectral,18
mesh1e1.mat,part_metis,17
mesh2e1.mat,part_coordinate,37
mesh2e1.mat,part_inertial,47
mesh2e1.mat,part_randsphere,36
mesh2e1.mat,part_adaptive_sfc,40
mesh2e1.mat,part_spectral,35
mesh2e1.mat,part_geospectral,35
mesh2e1.mat,part_metis,34
mesh3e1.mat,part_coordinate,17
mesh3e1.mat,part_inertial,32
mesh3e1.mat,part_randsphere,18
mesh3e1.mat,part_adaptive_sfc,21
mesh3e1.mat,part_spectral,30
mesh3e1.mat,part_geospectral,20
mesh3e1.mat,part_metis,18
mesh3em5.mat,part_coordinate,17
mesh3em5.mat,part_inertial,32
mesh3em5.mat,part_randsphere,18
mesh3em5.mat,part_adaptive_sfc,21
mesh3em5.mat,part_spectral,18
mesh3em5.mat,part_geospectral,20
mesh3em5.mat,part_metis,18
netz4504_dual.mat,part_coordinate,25
netz4504_dual.mat,part_inertial,30
netz4504_dual.mat,part_randsphere,23
netz4504_dual.mat,part_adaptive_sfc,25
netz4504_dual.mat,part_spectral,23
netz4504_dual.mat,part_geospectral,23
netz4504_dual.mat,part_metis,20
stufe.mat,part_coordinate,16
stufe.mat,part_inertial,16
stufe.mat,part_randsphere,16
stufe.mat,part_adaptive_sfc,16
stufe.mat,part_spectral,16
stufe.mat,part_geospectral,16
stufe.mat,part_metis,17
ukerbe1.mat,part_coordinate,27
ukerbe1.mat,part_inertial,28
ukerbe1.mat,part_randsphere,34
ukerbe1.mat,part_adaptive_sfc,34
ukerbe1.mat,part_spectral,28
ukerbe1.mat,part_geospectral,28
ukerbe1.mat,part_metis,30
